Symbol,Description
SET:HYDRO,HYDROTEK PUBLIC COMPANY LIMITED
SET:I2,I2 Enterprise Public Company Limited
SET:IDG,INDIGY PUBLIC COMPANY LIMITED
SET:IIG,I&I GROUP PUBLIC COMPANY LIMITED
SET:IMH,INTERMEDICAL CARE AND LAB HOSPITAL PUBLIC COMPANY LIMITED
SET:IND,INDEX INTERNATIONAL GROUP PUBLIC COMPANY LIMITED
SET:IRCP,"INTERNATIONAL RESEARCH CORPORATION PUBLIC CO., LTD."
SET:IROYAL,Interroyal Engineering Public Company Limited
SET:ITNS,INTERNATIONAL NETWORK SYSTEM PUBLIC COMPANY LIMITED
SET:ITTHI,ITTHIRIT NICE CORPORATION PUBLIC COMPANY LIMITED
SET:IVF,INSPIRE IVF Public Company Limited
SET:JAK,JAKPAISAN ESTATE PUBLIC COMPANY LIMITED
SET:JPARK,JENKONGKLAI PUBLIC COMPANY LIMITED
SET:JSP,JSP PHARMACEUTICAL MANUFACTURING (THAILAND) PUBLIC COMPANY LIMITED
SET:JUBILE,JUBILEE ENTERPRISE PUBLIC COMPANY LIMITED
SET:K,KINGSMEN C.M.T.I. PUBLIC COMPANY LIMITED
SET:KASET,THAI HA PUBLIC COMPANY LIMITED
SET:KCC,Knight Club Capital Holding Public Company Limited
SET:KCM,K.C. METALSHEET PUBLIC COMPANY LIMITED
SET:KGEN,KING GEN PUBLIC COMPANY LIMITED
SET:KJL,KIJCHAROEN ENGINEERING ELECTRIC PUBLIC COMPANY LIMITED
SET:KK,K&K SUPERSTORE SOUTHERN PUBLIC COMPANY LIMITED
SET:KOOL,CL VENTURE PUBLIC COMPANY LIMITED
SET:KTMS,KT Medical Service Public Company Limited
SET:KUMWEL,KUMWELL CORPORATION PUBLIC COMPANY LIMITED
SET:KWM,K. W. METAL WORK PUBLIC COMPANY LIMITED
SET:LDC,LDC DENTAL PUBLIC COMPANY LIMITED
SET:LEO,LEO GLOBAL LOGISTICS PUBLIC COMPANY LIMITED
SET:LIT,LEASE IT PUBLIC COMPANY LIMITED
SET:LTMH,LTMH Public Company Limited
SET:LTS,Light Up Total Solution Public Company Limited
SET:MAGURO,Maguro Group Public Company Limited
SET:MBAX,MULTIBAX PUBLIC COMPANY LIMITED
SET:MCA,Market Connections Asia Public Company Limited
SET:MEB,MEB Corporation Public Company Limited
SET:META,META CORPORATION PUBLIC COMPANY LIMITED
SET:MGI,Miss Grand International Public Company Limited
SET:MGT,MEGACHEM (THAILAND) PUBLIC COMPANY LIMITED
SET:MITSIB,MITSIB LEASING PUBLIC COMPANY LIMITED
SET:MMM,MMM Capital Public Company Limited
SET:MOONG,MOONG PATTANA INTERNATIONAL PUBLIC COMPANY LIMITED
SET:MORE,MORE RETURN PUBLIC COMPANY LIMITED
SET:MOTHER,Mother Marketing Public Company Limited
SET:MPJ,MPJ Logistics Public Company Limited
SET:MTW,MAKE TO WIN HOLDING PUBLIC COMPANY LIMITED
SET:MUD,MUD & HOUND PUBLIC COMPANY LIMITED
SET:MVP,M VISION PUBLIC COMPANY LIMITED
SET:NAT,NAT ABSOLUTE TECHNOLOGIES PUBLIC COMPANY LIMITED
SET:NCL,NCL INTERNATIONAL LOGISTICS PUBLIC COMPANY LIMITED
SET:NCP,Nice Call Public Company Limited
SET:NDR,N.D. RUBBER PUBLIC COMPANY LIMITED
SET:NETBAY,NETBAY PUBLIC COMPANY LIMITED
SET:NPK,NEW PLUS KNITTING PUBLIC COMPANY LIMITED
SET:NTF,NTF INTERGROUP (THAILAND) PUBLIC COMPANY LIMITED
SET:NTSC,Nutrition SC Public Company Limited
SET:NUT,NUTRITION PROFESS PUBLIC COMPANY LIMITED
SET:PACO,PRESIDENT AUTOMOBILE INDUSTRIES PUBLIC COMPANY LIMITED
SET:PANEL,PanelesMatic Solutions Public Company Limited
SET:PDG,PRODIGY PUBLIC COMPANY LIMITED
SET:PEER,PEER FOR YOU PUBLIC COMPANY LIMITED
SET:PHOL,PHOL DHANYA PUBLIC COMPANY LIMITED
SET:PICO,PICO (THAILAND) PUBLIC COMPANY LIMITED
SET:PIMO,PIONEER MOTOR PUBLIC COMPANY LIMITED
SET:PIS,Pro Inside Public Company Limited
SET:PLANET,PLANET COMMUNICATIONS ASIA PUBLIC COMPANY LIMITED
SET:PLT,Pilatus Marine Public Company Limited
SET:PMC,PMC Label Materials Public Company Limited
SET:PPM,PORN PROM METAL PUBLIC COMPANY LIMITED
SET:PPS,PROJECT PLANNING SERVICE PUBLIC COMPANY LIMITED
SET:PRAPAT,PEERAPAT TECHNOLOGY PUBLIC COMPANY LIMITED
SET:PRI,Primo Service Solutions Public Company Limited
SET:PROEN,PROEN CORP PUBLIC COMPANY LIMITED
SET:PROS,PROSPER ENGINEERING PUBLIC COMPANY LIMITED
SET:PSGC,PSG CORPORATION PUBLIC COMPANY LIMITED
SET:PSTC,POWER SOLUTION TECHNOLOGIES PUBLIC COMPANY LIMITED
SET:PTC,PREMIER TANK CORPORATION PUBLIC COMPANY LIMITED
SET:QDC,QUANTUM D C PUBLIC COMPANY LIMITED
SET:QLT,QUALITECH PUBLIC COMPANY LIMITED
SET:QTCG,QTCG PUBLIC COMPANY LIMITED
SET:READY,READYPLANET PUBLIC COMPANY LIMITED
SET:RP,RAJA FERRY PORT PUBLIC COMPANY LIMITED
SET:RWI,RAYONG WIRE INDUSTRIES PUBLIC COMPANY LIMITED
SET:SAAM,SAAM DEVELOPMENT PUBLIC COMPANY LIMITED
SET:SAF,S.A.F. SPECIAL STEEL PUBLIC COMPANY LIMITED
SET:SALEE,SALEE INDUSTRY PUBLIC COMPANY LIMITED
SET:SANKO,SANKO DIECASTING (THAILAND) PUBLIC COMPANY LIMITED
SET:SCL,S.C.L. Motor Part Public Company Limited
SET:SECURE,NFORCE SECURE PUBLIC COMPANY LIMITED
SET:SEI,"SEI MEDICAL PUBLIC CO., LTD."
SET:SENX,SEN X PUBLIC COMPANY LIMITED
SET:SFT,SHRINKFLEX (THAILAND) PUBLIC COMPANY LIMITED
SET:SGF,SGF CAPITAL PUBLIC COMPANY LIMITED
SET:SICT,SILICON CRAFT TECHNOLOGY PUBLIC COMPANY LIMITED
SET:SIMAT,SIMAT TECHNOLOGIES PUBLIC COMPANY LIMITED
SET:SK,SIRAKORN PUBLIC COMPANY LIMITED
SET:SKIN,SKIN LABORATORY PUBLIC COMPANY LIMITED
SET:SMART,SMART CONCRETE PUBLIC COMPANY LIMITED
SET:SMD100,SMD RISE PUBLIC COMPANY LIMITED
SET:SONIC,SONIC INTERFREIGHT PUBLIC COMPANY LIMITED
SET:SPTX,SPT X PUBLIC COMPANY LIMITED
SET:SPVI,S P V I PUBLIC COMPANY LIMITED
SET:SR,SIAMRAJ PUBLIC COMPANY LIMITED
SET:SRS,SIRISOFT PUBLIC COMPANY LIMITED
SET:STC,STC CONCRETE PRODUCT PUBLIC COMPANY LIMITED
SET:STOWER,SKY TOWER PUBLIC COMPANY LIMITED
SET:STP,SAHATHAI PRINTING & PACKAGING PUBLIC COMPANY LIMITED
SET:STX,Stone One Public Company Limited
SET:SVR,SIVAROM REAL ESTATE PUBLIC COMPANY LIMITED
SET:SWC,SHERWOOD CORPORATION (THAILAND) PUBLIC COMPANY LIMITED
SET:TACC,T.A.C. CONSUMER PUBLIC COMPANY LIMITED
SET:TAKUNI,TAKUNI GROUP PUBLIC COMPANY LIMITED
SET:TAPAC,TAPACO PUBLIC COMPANY LIMITED
SET:TATG,THAI AUTO TOOLS AND DIE PUBLIC COMPANY LIMITED
SET:TBN,TBN Corporation Public Company Limited
SET:TERA,Terabyte Plus Public Company Limited
SET:THANA,THANASIRI GROUP PUBLIC COMPANY LIMITED
SET:THMUI,THAI MUI CORPORATION PUBLIC COMPANY LIMITED
SET:TIGER,THAI ENGER HOLDING PUBLIC COMPANY LIMITED
SET:TM,TECHNO MEDICAL PUBLIC COMPANY LIMITED
SET:TMC,T.M.C. INDUSTRIAL PUBLIC COMPANY LIMITED
SET:TMI,TEERA-MONGKOL INDUSTRY PUBLIC COMPANY LIMITED
SET:TMILL,T S FLOUR MILL PUBLIC COMPANY LIMITED
SET:TMW,THAI MITSUWA PUBLIC COMPANY LIMITED
SET:TNDT,THAI NONDESTRUCTIVE TESTING PUBLIC COMPANY LIMITED
SET:TNH,THAI NAKARIN HOSPITAL PUBLIC COMPANY LIMITED
SET:TNP,THANAPIRIYA PUBLIC COMPANY LIMITED
SET:TPCH,TPC POWER HOLDING PUBLIC COMPANY LIMITED
SET:TPL,Thai Parcels Public Company Limited
SET:TPLAS,THAI PLASTIC INDUSTRIAL (1994) PUBLIC COMPANY LIMITED
SET:TPS,THE PRACTICAL SOLUTION PUBLIC COMPANY LIMITED
SET:TQR,TQR PUBLIC COMPANY LIMITED
SET:TRP,Aesthetic Connect Public Company Limited
SET:TRT,TIRATHAI PUBLIC COMPANY LIMITED
SET:TRV,T.R.V. RUBBER PRODUCTS PUBLIC COMPANY LIMITED
SET:TURTLE,SUPER TURTLE PUBLIC COMPANY LIMITED
SET:TVDH,TVD HOLDINGS PUBLIC COMPANY LIMITED
SET:TVT,TV THUNDER PUBLIC COMPANY LIMITED
SET:UBA,Utility Business Alliance Public Company Limited
SET:UBIS,UBIS (ASIA) PUBLIC COMPANY LIMITED
SET:UEC,UNIMIT ENGINEERING PUBLIC COMPANY LIMITED
SET:UKEM,UNION PETROCHEMICAL PUBLIC COMPANY LIMITED
SET:UMS,UNIQUE MINING SERVICES PUBLIC COMPANY LIMITED
SET:UREKA,EUREKA DESIGN PUBLIC COMPANY LIMITED
SET:VCOM,VINTCOM TECHNOLOGY PUBLIC COMPANY LIMITED
SET:VIBE,VIBE SYNERGY GROUP PUBLIC COMPANY LIMITED
SET:VL,V.L. ENTERPRISE PUBLIC COMPANY LIMITED
SET:VS,VISERVE ENTERPRISE PUBLIC COMPANY LIMITED
SET:WARRIX,Warrix Sport Public Company Limited
SET:WASH,Laundry You Public Company Limited
SET:WELL,WELL MANAGEMENT CORPORATION PUBLIC COMPANY LIMITED
SET:WINMED,WINNERGY MEDICAL PUBLIC COMPANY LIMITED
SET:WINNER,WINNER GROUP ENTERPRISE PUBLIC COMPANY LIMITED
SET:XO,EXOTIC FOOD PUBLIC COMPANY LIMITED
SET:YGG,YGGDRAZIL GROUP PUBLIC COMPANY LIMITED
SET:YONG,Yong Concrete Public Company Limited
SET:YUASA,YUASA BATTERY (THAILAND) PUBLIC COMPANY LIMITED
SET:ZIGA,ZIGA INNOVATION PUBLIC COMPANY LIMITED
